HSLGOverallCumulativeGradePointAverage,HSLGMathematicsCumulativeGradePointAverage,CCENCRFLCollegeCode,CCENCRFLCourseMarkPoints,CCIsMultiCollege,CCTransferableUnitsAttempted,CCTransferableUnitsEarned,GPA_present,cc_first_course_success_ind,pre_alg_up11_c,alg_i_up11_c,alg_ii_up11_c,geo_up11_c,trig_up11_c,pre_calc_up11_c,calc_up11_c,stat_up11_c
2.82,2.06,571,0,1,17,0,0,0,0,0,0,1,0,0,0,0
3.31,2.63,576,4,1,4,4,1,1,0,0,1,0,0,0,0,0
2.03,1.57,571,0,1,96,90,1,0,0,0,0,0,0,0,0,0
NA,NA,572,0,1,12,4,0,0,0,0,0,0,0,0,0,0
NA,NA,572,2,1,20,14,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,0,7,7,0,1,0,0,0,0,0,0,0,0
2.17,1.79,571,0,1,36,18,1,0,0,1,0,1,0,0,0,0
NA,NA,572,3,1,74,74,0,1,0,0,0,0,0,0,0,0
NA,NA,576,2,1,14,14,0,1,0,0,0,0,0,0,0,0
2.77,2.18,576,1,1,29,18,1,0,0,0,1,1,0,0,0,0
3.01,2.43,572,3,1,83,79,1,1,0,0,1,1,0,0,0,0
3.5,2.75,572,0,1,39,29,1,0,0,0,1,1,0,0,0,0
3.43,2.5,572,0,1,70,159.99,0,0,0,0,0,0,0,0,0,0
NA,NA,572,2,0,13,10,0,1,0,0,0,0,0,0,0,0
3.44,3.12,571,1,1,76,76,1,0,0,1,1,1,0,0,0,0
NA,NA,571,0,0,56,43,0,0,0,0,0,0,0,0,0,0
3.3,3.09,572,3,1,10,10,1,1,0,1,1,1,0,0,0,0
NA,NA,572,3,1,76,76,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,1,76,72,0,1,0,0,0,0,0,0,0,0
1.6,1.5,571,0,1,10,3,0,0,0,0,0,0,0,0,0,0
3.97,4,572,4,1,65,65,0,1,0,0,0,0,0,0,0,0
2.86,2.5,572,2,1,15,8,0,1,0,0,0,0,0,0,0,0
2.79,2.57,572,2,1,65,54,1,1,0,0,1,1,0,0,0,0
NA,NA,571,3,1,100,88,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,1,56,52,0,1,0,0,0,0,0,0,0,0
3.37,2.88,571,3,1,15,14,1,1,0,0,1,1,0,0,0,0
NA,NA,572,4,1,27.5,27.5,0,1,0,0,0,0,0,0,0,0
3.43,3.59,572,4,0,75,164.99,1,1,0,0,1,1,0,0,0,0
NA,NA,572,4,1,48,48,0,1,0,0,0,0,0,0,0,0
NA,NA,572,0,0,51,51,0,0,0,0,0,0,0,0,0,0
2.64,2.3,572,0,1,15,4,1,0,0,1,0,1,0,0,0,0
NA,NA,572,3,1,22.5,22.5,0,1,0,0,0,0,0,0,0,0
3.37,3.3,572,3,1,16,16,1,1,0,0,1,1,0,0,0,0
NA,NA,572,4,0,4,4,0,1,0,0,0,0,0,0,0,0
3.44,3.23,576,2,1,15,11,1,1,0,1,1,1,0,0,0,0
NA,NA,572,0,1,58,54,0,0,0,0,0,0,0,0,0,0
NA,NA,572,4,1,76,265.98,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,1,114.5,77.5,0,1,0,0,0,0,0,0,0,0
NA,NA,571,2,1,18,18,0,1,0,0,0,0,0,0,0,0
2.47,1.97,571,0,1,105,61,1,0,0,0,1,1,0,0,0,0
NA,NA,572,3,1,64,60,0,1,0,0,0,0,0,0,0,0
2.83,2.76,572,0,1,15,11,1,0,0,1,1,1,0,0,0,0
NA,NA,572,4,1,18,14,0,1,0,0,0,0,0,0,0,0
3.03,2.45,576,0,1,25,17,1,0,0,0,1,0,0,0,0,0
NA,NA,572,3,1,85,79,0,1,0,0,0,0,0,0,0,0
3.02,3.25,572,4,0,75,75,1,1,0,1,1,1,0,0,0,0
NA,NA,572,2,1,74,74,0,1,0,0,0,0,0,0,0,0
4,4,571,4,1,4,4,1,1,0,0,1,1,0,0,0,0
3.31,3.38,571,0,0,76,72,1,0,0,1,1,1,0,0,0,0
3.18,2.48,572,4,1,114,113,1,1,0,1,1,1,0,0,0,0
3.63,3.53,572,3,1,103,196.99,1,1,0,0,1,0,0,0,0,0
2.18,1.27,572,0,1,99,66,1,0,0,0,1,0,0,0,0,0
3.46,3.1,571,0,1,42,38,1,0,0,0,1,1,0,0,0,0
2.74,3.1,572,3,1,75,75,0,1,0,1,0,1,0,0,0,0
3.12,2.27,571,0,1,12,8,1,0,0,0,1,0,0,0,0,0
3.9,3.75,572,4,1,83,83,1,1,0,0,1,0,0,0,0,0
2.85,2,571,4,1,53,53,1,1,0,0,0,1,0,0,0,0
3.65,3.1,576,4,1,61,61,1,1,0,0,1,1,0,0,0,0
NA,NA,572,0,0,73,55,0,0,0,0,0,0,0,0,0,0
NA,NA,571,0,0,72,43,0,0,0,0,0,0,0,0,0,0
NA,NA,572,3,1,75,67,0,1,0,0,0,0,0,0,0,0
1.7,1.12,571,0,1,32,16,1,0,0,0,0,1,0,0,0,0
2.32,2.16,571,0,1,8,0,1,0,0,1,1,1,0,0,0,0
NA,NA,572,4,1,15,15,0,1,0,0,0,0,0,0,0,0
2.81,1.6,576,4,1,25,25,0,1,0,0,0,0,0,0,0,0
NA,NA,572,4,1,82,82,0,1,0,0,0,0,0,0,0,0
NA,NA,576,3,1,96.5,96.5,0,1,0,0,0,0,0,0,0,0
NA,NA,571,0,1,74.5,169.49,0,0,0,0,0,0,0,0,0,0
NA,NA,572,0,1,100.5,93,0,0,0,0,0,0,0,0,0,0
NA,NA,571,4,1,37,26,0,1,0,0,0,0,0,0,0,0
NA,NA,572,3,1,44,38,0,1,0,0,0,0,0,0,0,0
